alcohol-liquor-absinthe,1158
alcohol-liquor-bourbon,13234
alcohol-liquor-brandy,12386
alcohol-liquor-cognac,2744
alcohol-liquor-gin,46238
alcohol-liquor-jagermeister,841
alcohol-liquor-rum,46542
alcohol-liquor-sake,68864
alcohol-liquor-scotch,9060
alcohol-liquor-tequila,44682
alcohol-liquor-vodka,78857
alcohol-liquor-whiskey,31723

alcohol-beer,336931

alcohol-wine-white_wine,2189
alcohol-wine-wine,210601
alcohol-wine-champagne,45940
alcohol-wine-Red_Wine,7147


election-democratic-clinton,185214
election-republican-cruz,149390
election-democratic-sanders,194275
election-republican-trump,295045
election-republican-kasich,22805


news-cnn,88230
news-fox,62366
news-msnbc,11170


sports leagues-nba,183970
sports leagues-nfl,59541
sports leagues-nhl,21961
sports leagues-mlb,38955
